segment_id,candidate_token_i,candidate_token_text,candidate_name,score,ent_type,pos,dep,morph,head_i,head_text,head_pos,head_dep,important_verbs,important_lemmas,child_texts,child_deps,reasons
seg_000066,7,Marcelin,Marcelin Nadeau,11,PER,PROPN,flat:name,,6,Monsieur,NOUN,obl:arg,est,être,Nadeau,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Monsieur | has flat:name child | name extended with flat:name
seg_000066,8,Nadeau,Marcelin Nadeau,8,PER,PROPN,flat:name,,7,Marcelin,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000095,5,Eleonore,Eleonore Carroy,8,PER,PROPN,nmod,Gender=Fem|Number=Sing,4,madame,NOUN,ROOT,est,être,Carroy,flat:name,ent_type=PER | pos=PROPN | head.title=madame | has flat:name child | name extended with flat:name
seg_000095,6,Carroy,Eleonore Carroy,8,PER,PROPN,flat:name,,5,Eleonore,PROPN,nmod,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000137,5,Marc,Marc Chavan,11,PER,PROPN,flat:name,Gender=Masc|Number=Sing,4,Monsieur,NOUN,ROOT,est,être,Chavan,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Monsieur | has flat:name child | name extended with flat:name
seg_000137,6,Chavan,Marc Chavan,8,PER,PROPN,flat:name,,5,Marc,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000170,5,Roland,Roland Lescure,12,PER,PROPN,flat:name,Gender=Masc|Number=Sing,4,Monsieur,NOUN,ROOT,est,être,"Lescure | , | ministre",flat:name | punct | appos,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Monsieur | has flat:name child | has appos child | name extended with flat:name
seg_000170,6,Lescure,Roland Lescure,8,PER,PROPN,flat:name,,5,Roland,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000171,13,Marc,Marc Chavan,8,PER,PROPN,nmod,Gender=Masc|Number=Sing,10,Monsieur,NOUN,conj,,,Chavan,flat:name,ent_type=PER | pos=PROPN | head.title=Monsieur | has flat:name child | name extended with flat:name
seg_000171,14,Chavan,Marc Chavan,8,PER,PROPN,flat:name,,13,Marc,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000234,8,Géry,Jonathan Géry,8,PER,PROPN,flat:name,,7,Jonathan,PROPN,punct,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000246,3,Bonnard,Bonnard,7,PER,PROPN,flat:name,,2,entreprise,NOUN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name
seg_000292,5,Roland,Roland Lescure,10,PER,PROPN,appos,Gender=Masc|Number=Sing,4,monsieur,NOUN,ROOT,est,être,Lescure,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=monsieur | has flat:name child | name extended with flat:name
seg_000292,6,Lescure,Roland Lescure,8,PER,PROPN,flat:name,,5,Roland,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000360,1,Corinne,Corinne Vignon,8,PER,PROPN,nmod,,0,madame,NOUN,ROOT,,,Vignon,flat:name,ent_type=PER | pos=PROPN | head.title=madame | has flat:name child | name extended with flat:name
seg_000360,2,Vignon,Corinne Vignon,8,PER,PROPN,flat:name,,1,Corinne,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000424,5,Roland,Roland Lescure,11,PER,PROPN,flat:name,Gender=Masc|Number=Sing,4,Monsieur,NOUN,ROOT,est,être,Lescure,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Monsieur | has flat:name child | name extended with flat:name
seg_000424,6,Lescure,Roland Lescure,8,PER,PROPN,flat:name,,5,Roland,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000428,3,Corinne,Corinne Vignon,8,PER,PROPN,nmod,,0,Madame,NOUN,ROOT,,,Vignon,flat:name,ent_type=PER | pos=PROPN | head.title=Madame | has flat:name child | name extended with flat:name
seg_000428,4,Vignon,Corinne Vignon,8,PER,PROPN,flat:name,,3,Corinne,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000435,6,Baptiste,Philippe Baptiste,8,PER,PROPN,flat:name,,5,Philippe,PROPN,obj,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000520,4,Elia,Elia Sambar,7,PER,PROPN,ROOT,Gender=Fem|Number=Sing,4,Elia,PROPN,ROOT,,,Elia | Sambar,ROOT | flat:name,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_000520,5,Sambar,Elia Sambar,8,PER,PROPN,flat:name,,4,Elia,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000545,3,Thomas,Thomas Porte,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,2,député,NOUN,nmod,,,Porte,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | has flat:name child | name extended with flat:name
seg_000545,4,Porte,Thomas Porte,8,PER,PROPN,flat:name,,3,Thomas,PROPN,flat:name,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000616,2,Bellet,Bellet,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,0,madame,NOUN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=madame
seg_000697,7,Lurel,Victorin Lurel,8,PER,PROPN,flat:name,,6,Victorin,PROPN,obl:mod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000698,0,Erika,Erika Barretz,7,PER,PROPN,ROOT,,0,Erika,PROPN,ROOT,,,"Erika | Barretz | ,",ROOT | flat:name | punct,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_000698,1,Barretz,Erika Barretz,8,PER,PROPN,flat:name,,0,Erika,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000751,0,Jean-Pierre,Jean-Pierre Vigier,7,PER,PROPN,ROOT,,0,Jean-Pierre,PROPN,ROOT,,,Jean-Pierre | Vigier,ROOT | flat:name,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_000751,1,Vigier,Jean-Pierre Vigier,8,PER,PROPN,flat:name,,0,Jean-Pierre,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000812,5,Françoise,Françoise Gattel,10,PER,PROPN,appos,Gender=Fem|Number=Sing,4,madame,NOUN,ROOT,est,être,Gattel,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=madame | has flat:name child | name extended with flat:name
seg_000812,6,Gattel,Françoise Gattel,8,PER,PROPN,flat:name,,5,Françoise,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000816,3,Jean-Pierre,Jean-Pierre Vigier,8,PER,PROPN,appos,,2,député,NOUN,nmod,,,Vigier,flat:name,ent_type=PER | pos=PROPN | dep=appos | has flat:name child | name extended with flat:name
seg_000816,4,Vigier,Jean-Pierre Vigier,8,PER,PROPN,flat:name,,3,Jean-Pierre,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000822,2,Marie-Noëlle,Marie-Noëlle Batistel,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,2,Marie-Noëlle,PROPN,ROOT,,,"mais | aussi | Marie-Noëlle | Batistel | ,",cc | advmod | ROOT | flat:name | punct,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_000822,3,Batistel,Marie-Noëlle Batistel,8,PER,PROPN,flat:name,,2,Marie-Noëlle,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000838,3,Batistel,Marie-Noëlle Batistel,8,PER,PROPN,flat:name,,2,Marie-Noëlle,PROPN,obj,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000872,2,Julie,Julie Lernousse,10,PER,PROPN,appos,Gender=Fem|Number=Sing,1,Madame,NOUN,ROOT,,,Lernousse,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=Madame | has flat:name child | name extended with flat:name
seg_000872,3,Lernousse,Julie Lernousse,8,PER,PROPN,flat:name,,2,Julie,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000937,5,Monique,Monique Barbu,10,PER,PROPN,appos,Gender=Masc|Number=Sing,4,madame,NOUN,ROOT,est,être,Barbu,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=madame | has flat:name child | name extended with flat:name
seg_000937,6,Barbu,Monique Barbu,8,PER,PROPN,flat:name,,5,Monique,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001002,5,Didier,Didier Padet,11,PER,PROPN,flat:name,Gender=Masc|Number=Sing,4,Monsieur,NOUN,ROOT,est,être,Padet,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Monsieur | has flat:name child | name extended with flat:name
seg_001002,6,Padet,Didier Padet,8,PER,PROPN,flat:name,,5,Didier,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001006,3,Sébastien,Sébastien Martin,8,PER,PROPN,appos,Gender=Masc|Number=Sing,2,Industrie,NOUN,ROOT,,,Martin,flat:name,ent_type=PER | pos=PROPN | dep=appos | has flat:name child | name extended with flat:name
seg_001006,4,Martin,Sébastien Martin,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,3,Sébastien,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001058,4,Roland,Roland Lescure,8,PER,PROPN,ROOT,Gender=Masc|Number=Sing,4,Roland,PROPN,ROOT,est,être,"parole | est | à | Roland | Lescure | , | ministre | .",nsubj | cop | case | ROOT | flat:name | punct | appos | punct,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | has appos child | name extended with flat:name
seg_001058,5,Lescure,Roland Lescure,8,PER,PROPN,flat:name,,4,Roland,PROPN,ROOT,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001060,9,Padet,Padet,7,PER,PROPN,flat:name,,8,député,NOUN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name
seg_001122,2,Yannick,Yannick Favenec - Becot,8,PER,PROPN,nmod,Gender=Masc|Number=Sing,1,monsieur,NOUN,ROOT,,,Favenec | - | Becot,flat:name | flat:name | flat:name,ent_type=PER | pos=PROPN | head.title=monsieur | has flat:name child | name extended with flat:name
seg_001122,3,Favenec,Yannick Favenec - Becot,8,PER,PROPN,flat:name,,2,Yannick,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001122,4,-,Yannick Favenec - Becot,8,PER,PROPN,flat:name,,2,Yannick,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001122,5,Becot,Yannick Favenec - Becot,8,PER,PROPN,flat:name,,2,Yannick,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001140,0,Mathieu,Mathieu Cornu,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,0,Mathieu,PROPN,ROOT,,,"Mathieu | Cornu | , | sapeur | - | pompier",ROOT | flat:name | punct | nmod | nmod | nmod,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_001140,1,Cornu,Mathieu Cornu,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,0,Mathieu,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001261,4,Indépendant,Horizon Indépendant,8,PER,PROPN,flat:name,,3,Horizon,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001265,5,Frédéric,Frédéric Valtoux,10,PER,PROPN,appos,Gender=Masc|Number=Sing,4,monsieur,NOUN,ROOT,est,être,Valtoux,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=monsieur | has flat:name child | name extended with flat:name
seg_001265,6,Valtoux,Frédéric Valtoux,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,5,Frédéric,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001348,3,Veil,Veil,7,PER,PROPN,nmod,,2,Simone,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | head.dep=obl:agent | head.pos=PROPN
seg_001351,2,Claude,Claude Hévin,8,PER,PROPN,obl:agent,Number=Sing,0,portée,VERB,ROOT,,,par | Hévin,case | flat:name,ent_type=PER | pos=PROPN | dep=obl:agent | has flat:name child | name extended with flat:name
seg_001351,3,Hévin,Claude Hévin,10,PER,PROPN,flat:name,,2,Claude,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.dep=obl:agent | head.pos=PROPN | name rebuilt from head PROPN
seg_001357,7,Jacques,Jacques Chirac,10,PER,PROPN,appos,Gender=Masc|Number=Sing,2,président,NOUN,ROOT,,,Chirac,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=président | has flat:name child | name extended with flat:name
seg_001357,8,Chirac,Jacques Chirac,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,7,Jacques,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001407,5,Eric,Eric Wörth,8,PER,PROPN,appos,Gender=Masc|Number=Sing,4,collègues,NOUN,nmod,,,Wörth,flat:name,ent_type=PER | pos=PROPN | dep=appos | has flat:name child | name extended with flat:name
seg_001407,6,Wörth,Eric Wörth,8,PER,PROPN,flat:name,,5,Eric,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001561,1,Frédéric,Frédéric Valteau,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,1,Frédéric,PROPN,ROOT,,,"cher | Frédéric | Valteau | ,",amod | ROOT | flat:name | punct,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_001561,2,Valteau,Frédéric Valteau,8,PER,PROPN,flat:name,,1,Frédéric,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001690,4,Cécile,Cécile Violand,8,PER,PROPN,nmod,,1,Madame,NOUN,ROOT,,,Violand,flat:name,ent_type=PER | pos=PROPN | head.title=Madame | has flat:name child | name extended with flat:name
seg_001690,5,Violand,Cécile Violand,8,PER,PROPN,flat:name,,4,Cécile,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_001694,6,Sociales,Sociales,7,PER,PROPN,flat:name,,5,Affaires,NOUN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name
seg_001848,5,Charles,Charles,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,4,M.,NOUN,ROOT,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=M.
seg_001906,0,Eric,Eric Wörth,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,0,Eric,PROPN,ROOT,était,être,"Eric | Wörth | , | qui | était",ROOT | flat:name | punct | nmod | dep,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_001906,1,Wörth,Eric Wörth,8,PER,PROPN,flat:name,,0,Eric,PROPN,ROOT,était,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002009,5,Yannick,Yannick Monnet,10,PER,PROPN,appos,Gender=Masc|Number=Sing,4,monsieur,NOUN,ROOT,est,être,Monnet,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=monsieur | has flat:name child | name extended with flat:name
seg_002009,6,Monnet,Yannick Monnet,8,PER,PROPN,flat:name,,5,Yannick,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002245,5,Alexandre,Alexandre,9,PER,PROPN,flat:name,,4,monsieur,NOUN,ROOT,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=monsieur
seg_002426,3,Chirac,Jacques Chirac,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,2,Jacques,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002609,0,John,John Dali,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,0,John,PROPN,ROOT,,,John | Dali | actif,ROOT | flat:name | amod,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_002609,1,Dali,John Dali,8,PER,PROPN,flat:name,,0,John,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002616,4,Maurice,Philippe Maurice,8,PER,PROPN,flat:name,,3,Philippe,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002706,0,Marietta,Marietta Caramanli,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,0,Marietta,PROPN,ROOT,,,Marietta | Caramanli | groupe,ROOT | flat:name | nmod,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_002706,1,Caramanli,Marietta Caramanli,8,PER,PROPN,flat:name,,0,Marietta,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002837,3,Jacques,Jacques Chirac,10,PER,PROPN,appos,Gender=Masc|Number=Sing,2,président,NOUN,ROOT,,,Chirac,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=président | has flat:name child | name extended with flat:name
seg_002837,4,Chirac,Jacques Chirac,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,3,Jacques,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_002875,2,Frédéric,Frédéric Valtoux,8,PER,PROPN,appos,Gender=Masc|Number=Sing,1,collègue,NOUN,ROOT,,,Valtoux,flat:name,ent_type=PER | pos=PROPN | dep=appos | has flat:name child | name extended with flat:name
seg_002875,3,Valtoux,Frédéric Valtoux,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,2,Frédéric,PROPN,appos,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003021,2,Philippe,Philippe Maurice Andilon,8,PER,PROPN,obl:agent,Gender=Masc|Number=Sing,0,commandé,VERB,ROOT,,,par | Maurice | Andilon,case | flat:name | flat:name,ent_type=PER | pos=PROPN | dep=obl:agent | has flat:name child | name extended with flat:name
seg_003021,3,Maurice,Philippe Maurice Andilon,10,PER,PROPN,flat:name,,2,Philippe,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.dep=obl:agent | head.pos=PROPN | name rebuilt from head PROPN
seg_003021,4,Andilon,Philippe Maurice Andilon,10,PER,PROPN,flat:name,,2,Philippe,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.dep=obl:agent | head.pos=PROPN | name rebuilt from head PROPN
seg_003138,5,Christophe,Christophe Blanchet,11,PER,PROPN,flat:name,Number=Sing,4,monsieur,NOUN,ROOT,est,être,Blanchet,flat:name,ent_type=PER | pos=PROPN | dep=flat:name | head.title=monsieur | has flat:name child | name extended with flat:name
seg_003138,6,Blanchet,Christophe Blanchet,8,PER,PROPN,flat:name,,5,Christophe,PROPN,flat:name,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003293,5,Philippe,Philippe Bonnecarrère,10,PER,PROPN,appos,Gender=Masc|Number=Sing,4,monsieur,NOUN,ROOT,est,être,Bonnecarrère,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=monsieur | has flat:name child | name extended with flat:name
seg_003293,6,Bonnecarrère,Philippe Bonnecarrère,8,PER,PROPN,flat:name,,5,Philippe,PROPN,appos,est,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003460,4,Thierry,Nicolas Thierry,8,PER,PROPN,flat:name,Gender=Masc|Number=Sing,3,Nicolas,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003496,6,Maurice,Philippe Maurice,8,PER,PROPN,flat:name,,5,Philippe,PROPN,obl:arg,sont,être,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003502,0,Johannes,Johannes Hahn,7,PER,PROPN,ROOT,,0,Johannes,PROPN,ROOT,,,Johannes | Hahn,ROOT | flat:name,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_003502,1,Hahn,Johannes Hahn,8,PER,PROPN,flat:name,,0,Johannes,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003565,1,Philippe,Philippe Maurice,7,PER,PROPN,ROOT,Gender=Masc|Number=Sing,1,Philippe,PROPN,ROOT,,,avec | Philippe | Maurice,case | ROOT | flat:name,ent_type=PER | pos=PROPN | head.pos=PROPN | has flat:name child | name extended with flat:name
seg_003565,2,Maurice,Philippe Maurice,8,PER,PROPN,flat:name,,1,Philippe,PROPN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_003678,4,Valtoux,Valtoux,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,3,M.,NOUN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=M.
seg_003684,1,Hervé,Hervé,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,0,Mme,NOUN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Mme
seg_003688,4,Valtoux,Valtoux,9,PER,PROPN,flat:name,Gender=Masc|Number=Sing,3,M.,NOUN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=M.
seg_003698,1,Hervieux,Hervieux,9,PER,PROPN,flat:name,,0,Mme,NOUN,ROOT,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.title=Mme
seg_003713,2,Philippe,Philippe Maurice,8,PER,PROPN,obl:agent,Gender=Masc|Number=Sing,0,financé,VERB,ROOT,,,par | Maurice | international,case | flat:name | amod,ent_type=PER | pos=PROPN | dep=obl:agent | has flat:name child | name extended with flat:name
seg_003713,3,Maurice,Philippe Maurice,10,PER,PROPN,flat:name,,2,Philippe,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.dep=obl:agent | head.pos=PROPN | name rebuilt from head PROPN
seg_003739,5,Philippe,Philippe Maurice,8,PER,PROPN,obl:agent,Gender=Masc|Number=Sing,3,commandé,VERB,acl,,,par | Maurice,case | flat:name,ent_type=PER | pos=PROPN | dep=obl:agent | has flat:name child | name extended with flat:name
seg_003739,6,Maurice,Philippe Maurice,10,PER,PROPN,flat:name,,5,Philippe,PROPN,obl:agent,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.dep=obl:agent | head.pos=PROPN | name rebuilt from head PROPN
seg_003785,4,Lamartine,Lamartine,7,PER,PROPN,flat:name,,3,salle,NOUN,obl:arg,,,,,ent_type=PER | pos=PROPN | dep=flat:name
